도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),102.0,1956.0,1743.0,1861.0,1921.0,2217.0,2557.0,2535.0,2723.0,2340.0,2656.0,5.0,94.0,448.0,20200308
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),96.0,1704.0,1832.0,2084.0,2249.0,2497.0,2693.0,2665.0,2883.0,2528.0,2913.0,5.0,126.0,565.0,20200318
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),96.0,2008.0,1987.0,2092.0,2102.0,2015.0,2122.0,2257.0,2503.0,2226.0,2300.0,5.0,110.0,480.0,20200318
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),96.0,2044.0,2306.0,2576.0,2765.0,2881.0,2978.0,2998.0,3596.0,3200.0,2972.0,5.0,178.0,437.0,20200318
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),96.0,1574.0,1620.0,1829.0,1983.0,2399.0,2920.0,3189.0,3648.0,2895.0,3424.0,5.0,99.0,519.0,20200318
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),96.0,1717.0,1877.0,2160.0,2402.0,2649.0,2883.0,3049.0,3606.0,3005.0,3226.0,5.0,138.0,567.0,20200318
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),96.0,1847.0,1655.0,1797.0,1879.0,2189.0,2523.0,2694.0,2853.0,2466.0,2830.0,5.0,90.0,571.0,20200318
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),96.0,2042.0,2017.0,2111.0,2074.0,2051.0,2327.0,2466.0,3267.0,2667.0,2667.0,5.0,110.0,407.0,20200318
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),120.0,1885.0,2077.0,2244.0,2472.0,2741.0,2988.0,3106.0,3770.0,3213.0,3285.0,5.0,149.0,815.0,20200323
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),120.0,2050.0,2091.0,2147.0,2137.0,2342.0,2218.0,2457.0,3348.0,2763.0,2807.0,5.0,118.0,591.0,20200323
